Annexure II-  Nifty Next 50 Index : October 2024,,,,,,,,,,,
,,,,,,,,,,,
Sr. No,Security Symbol,Security Name,Industry,Equity Capital (In Rs.),Index Market Capitalisation (Rs. Crores),Weightage (%),Beta,R2,Volatility (%),Monthly Return,Avg. Impact Cost (%)
1,ABB,ABB India Ltd.,POWER EQUIPMENT,423816750,51575.35,2.09,1.25,0.2,2.57,-7.77,0.02
2,ADANIENSOL,Adani Energy Solutions Ltd.,POWER - TRANSMISSION,12012826420,11070.32,0.45,1.77,0.18,3.06,-3.31,0.03
3,ADANIGREEN,Adani Green Energy Ltd.,POWER,15840324780,17859.6,0.72,2.02,0.28,1.57,-16,0.03
4,ADANIPOWER,Adani Power Ltd.,POWER,38569389410,16047.22,0.65,1.76,0.27,1.47,-9.67,0.04
5,ATGL,Adani Total Gas Ltd.,LPG/CNG/PNG/LNG SUPPLIER,1099810083,6168.16,0.25,1.74,0.17,2.34,-8.66,0.04
6,AMBUJACEM,Ambuja Cements Ltd.,CEMENT,4926246956,46409.91,1.88,1.67,0.43,1.71,-8.22,0.03
7,DMART,Avenue Supermarts Ltd.,DIVERSIFIED RETAIL,6507330680,18023.06,0.73,0.22,0.01,2.53,-22.87,0.03
8,BAJAJHLDNG,Bajaj Holdings & Investment Ltd.,HOLDING COMPANIES,1112935100,13742.38,0.56,0.47,0.05,1.15,-2.34,0.05
9,BANKBARODA,Bank of Baroda,PUBLIC SECTOR BANK,10342724358,61976.16,2.51,1.68,0.42,2.09,1.28,0.02
10,BHEL,Bharat Heavy Electricals Ltd.,POWER EQUIPMENT,6964126710,40669.47,1.65,2,0.32,3.02,-14.55,0.03
11,BOSCHLTD,Bosch Ltd.,AUTO ANCILLARIES,294936400,40334.23,1.63,0.73,0.16,1.61,-6.79,0.04
12,CANBK,Canara Bank,PUBLIC SECTOR BANK,18141302520,45814.93,1.86,1.69,0.42,2.52,-7.8,0.03
13,CHOLAFIN,Cholamandalam Investment and Finance Company Ltd.,NBFC,1680804372,70323.67,2.85,1.06,0.2,2,-20.85,0.03
14,DLF,DLF Ltd.,RESIDENTIAL/COMMERCIAL/SEZ Project,4950630072,69647.23,2.82,1.65,0.44,2.57,-8.41,0.03
15,DABUR,Dabur India Ltd.,PERSONAL CARE,1772311381,42226.74,1.71,0.29,0.03,1.85,-13.63,0.02
16,DIVISLAB,Divi's Laboratories Ltd.,PHARMACEUTICALS,530937160,99116.46,4.01,0.53,0.08,2.1,8.2,0.03
17,GAIL,GAIL (India) Ltd.,GAS TRANSMISSION/MARKETING,65750996440,71602.48,2.9,1.83,0.39,1.6,-16.77,0.03
18,GODREJCP,Godrej Consumer Products Ltd.,PERSONAL CARE,1022894947,64015.13,2.59,0.47,0.06,1.56,-7.91,0.03
19,HAVELLS,Havells India Ltd.,CONSUMER ELECTRONICS,626919070,54922.45,2.22,0.71,0.16,1.75,-18.6,0.03
